Prime_p,6N_Wing,Mod_24,Root_Number,True_Rank,Rank_Lo,Rank_Hi,Computation_Status
5179,1,19,1,2,2,2,certified
5189,-1,5,1,0,0,0,certified
5197,1,13,-1,1,1,1,certified
5209,1,1,1,,0,2,bounded
5227,1,19,-1,3,3,3,certified
5231,-1,23,1,0,0,0,certified
5233,1,1,-1,1,1,1,certified
5237,-1,5,1,0,0,0,certified
5261,-1,5,1,0,0,0,certified
5273,-1,17,1,,0,2,bounded
5279,-1,23,-1,1,1,1,certified
5281,1,1,1,0,0,0,certified
5297,-1,17,1,0,0,0,certified
5303,-1,23,1,2,2,2,certified
5309,-1,5,1,0,0,0,certified
5323,1,19,1,0,0,0,certified
5333,-1,5,1,0,0,0,certified
5347,1,19,-1,1,1,1,certified
5351,-1,23,-1,1,1,1,certified
5381,-1,5,1,2,2,2,certified
5387,-1,11,-1,1,1,1,certified
5393,-1,17,-1,1,1,1,certified
5399,-1,23,-1,1,1,1,certified
5407,1,7,-1,1,1,1,certified
5413,1,13,-1,1,1,1,certified
5417,-1,17,1,4,4,4,certified
5419,1,19,-1,1,1,1,certified
5431,1,7,1,0,0,0,certified
5437,1,13,1,2,2,2,certified
5441,-1,17,1,0,0,0,certified
5443,1,19,-1,3,3,3,certified
5449,1,1,-1,1,1,1,certified
5471,-1,23,-1,1,1,1,certified
5477,-1,5,1,,0,2,bounded
5479,1,7,-1,1,1,1,certified
5483,-1,11,1,2,2,2,certified
5501,-1,5,-1,1,1,1,certified
5503,1,7,1,2,2,2,certified
5507,-1,11,-1,1,1,1,certified
5519,-1,23,1,0,0,0,certified
5521,1,1,-1,1,1,1,certified
5527,1,7,-1,1,1,1,certified
5531,-1,11,-1,1,1,1,certified
5557,1,13,-1,1,1,1,certified
5563,1,19,-1,3,3,3,certified
5569,1,1,1,0,0,0,certified
5573,-1,5,-1,1,1,1,certified
5581,1,13,1,2,2,2,certified
5591,-1,23,1,2,2,2,certified
5623,1,7,-1,1,1,1,certified
5639,-1,23,-1,1,1,1,certified
5641,1,1,1,0,0,0,certified
5647,1,7,1,0,0,0,certified
5651,-1,11,-1,1,1,1,certified
5653,1,13,1,2,2,2,certified
5657,-1,17,1,0,0,0,certified
5659,1,19,-1,1,1,1,certified
5669,-1,5,1,0,0,0,certified
5683,1,19,1,2,2,2,certified
5689,1,1,1,,0,2,bounded
5693,-1,5,1,,0,2,bounded
5701,1,13,-1,1,1,1,certified
5711,-1,23,-1,1,1,1,certified
5717,-1,5,-1,1,1,1,certified
5737,1,1,-1,1,1,1,certified
5741,-1,5,1,0,0,0,certified
5743,1,7,-1,1,1,1,certified
5749,1,13,1,0,0,0,certified
5779,1,19,-1,1,1,1,certified
5783,-1,23,-1,1,1,1,certified
5791,1,7,1,2,2,2,certified
5801,-1,17,1,,0,2,bounded
5807,-1,23,1,2,2,2,certified
5813,-1,5,1,0,0,0,certified
5821,1,13,1,,0,2,bounded
5827,1,19,1,0,0,0,certified
5839,1,7,-1,1,1,1,certified
5843,-1,11,1,2,2,2,certified
5849,-1,17,1,0,0,0,certified
5851,1,19,-1,1,1,1,certified
5857,1,1,1,0,0,0,certified
